@RELATION fractal

@ATTRIBUTE a1 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1.79130161392, 5
1.86034025529, 2
1.8754439852, 2
1.86483686746, 2
1.84697655611, 4
1.86749709054, 5
1.86882297512, 2
1.844306384, 4
1.93227653937, 2
1.87036757902, 2
1.87292684515, 4
1.899121654, 2
1.9283765079, 3
1.90641294978, 3
1.93298689294, 3
1.89323766141, 2
1.8928068715, 3
1.85191994829, 2
1.8847226366, 3
1.86254911504, 2
1.89040256718, 4
1.85282522383, 2
1.87283901275, 3
1.95222215632, 3
1.90891133284, 3
1.93529051595, 3
1.92241481374, 2
1.90836486076, 5
1.88446575212, 3
1.88649989877, 2
1.88909370228, 2
1.92044651842, 2
1.92515890677, 2
1.92565982731, 3
1.87844606574, 2
1.86790778907, 2
1.91844229515, 3
1.92430494135, 3
1.89850648892, 3
1.94329395735, 3
1.95920558984, 2
1.88488586962, 3
1.87638278969, 2
1.92875161252, 2
1.95658569249, 3
1.86920157365, 3
1.90855486924, 3
1.9401340361, 2
1.8641790097, 2
1.93410283307, 2
1.90671519196, 2
1.85355337393, 3
1.87908717983, 2
1.8990776612, 4
1.96198426737, 3
1.93188664865, 3
1.87291628722, 3
1.9025839365, 3
1.87601745794, 2
1.87068280296, 2
1.89796319188, 2
1.9145641963, 3
1.87229124689, 2
1.96307714091, 2
1.8980312327, 2
1.89118628275, 3
1.89349458178, 2
1.94872892506, 3
1.87996657786, 2
1.9577716772, 2
1.89384409509, 2
1.86493808469, 2
1.88309538267, 2
1.93027463926, 2
1.92645065973, 2
1.90513279499, 2
1.92640495266, 3
1.93871938364, 2
1.94613119184, 2
1.93132075601, 2
1.94113701752, 2
1.87797691574, 3
1.96070074026, 3
1.85566830055, 2
1.92815482653, 2
1.87006005796, 2
1.95220052179, 2
1.93134512564, 3
1.88762415289, 2
1.88593664885, 3
1.88199989252, 3
1.88709793852, 2
1.89808339209, 2
1.8641695866, 3
1.93998255284, 2
1.94671458247, 2
1.94949269876, 2
1.94304072867, 2
1.93192735659, 2
1.9325624795, 2
1.93500276374, 2
1.93629223679, 2
1.88410658026, 2
1.94641151761, 2
1.94641151761, 3
1.90767636449, 3
1.86819948981, 3
1.74294880191, 2
1.95350220661, 2
1.89670329712, 3
1.89370015784, 3
1.9452930064, 2
1.85947462277, 2
1.87662662459, 3
1.82418652507, 3
1.96154733123, 2
1.89136691989, 2
1.88113210129, 3
1.89380683975, 3
1.90600929126, 3
1.86744633425, 2
1.8743304639, 3
1.89917371578, 3
1.83713053282, 3
1.92325790432, 2
1.94810884278, 3
1.87372962353, 3
1.9260636345, 3
1.87620826445, 2
1.88792953456, 2
1.93369445482, 3
1.93586537051, 3
1.93755116911, 2
1.95368013056, 2
1.93129538348, 2
1.93476695666, 2
1.91093399877, 3
1.87357433072, 4
1.92058237157, 2
1.89087327345, 2
1.9511853468, 2
1.94265125491, 3
1.94090779885, 2
1.85227551402, 3
1.90382810268, 2
1.90359631501, 3
1.94561568487, 3
1.92902745658, 3
1.93237885415, 2
1.84901861396, 3
1.9379374555, 2
1.88273309756, 2
1.950951327, 3
1.87418029754, 2
1.87603186786, 3
1.92782358301, 3
1.84066819794, 2
1.92392312066, 3
1.89047805301, 4
1.95942432172, 2
1.95117217424, 3
1.95299572003, 2
1.87771356501, 2
1.94047075784, 2
1.9464335893, 3
1.91249117004, 2
1.86092684903, 3
1.94369764618, 3
1.94590578383, 3
1.94221787239, 3
1.94457345145, 2
1.95426850096, 3
1.94891299654, 2
1.87561152373, 3
1.85579098142, 2
1.91752432624, 3
1.88233763563, 3
1.87851504887, 3
1.83256323284, 2
1.87894812602, 2
1.87911160736, 3
1.88600567815, 3
1.95677627531, 2
1.8692508009, 2
1.91855653901, 3
1.9125663991, 2
1.87830854665, 3
1.94364657914, 2
1.83328309578, 2
1.86541974568, 3
1.87024447871, 3
1.93950970634, 3
1.90268971951, 5
1.89037852103, 5
1.94047884586, 2
1.93621596655, 2
1.9329073263, 2
1.94705541987, 2
1.90894687421, 2
1.86224156321, 2
1.94640150904, 3
1.84815278512, 4
1.83354122554, 3
1.9365266912, 3
1.89042038442, 3
1.8498481901, 2
1.80817377976, 3
1.90529786048, 2
1.9257577014, 2
1.89414829312, 2
1.94853506, 3
1.86210525844, 2
1.89326461897, 2
1.92785206681, 3
1.82685122411, 2
1.92792842317, 3
1.91056153869, 2
1.94325985273, 2
1.91457542283, 2
1.8817990355, 2
1.92669538213, 2
1.89354316228, 2
1.9364490541, 2
1.85383343475, 2
1.92236234065, 2
1.92028464181, 2
1.94212037561, 3
1.91760776779, 3
1.90781948556, 3
1.8676443133, 2
1.87688694093, 2
1.91057758054, 2
1.92692289253, 3
