@RELATION gabor

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
3.54716256368e-14, 30.1746572866, -2.65676369793e-13, 58.0827306831, -7.90478793533e-14, 83.4894730646, 2.31759056391e-14, 41.3715653241, 1.59317004034e-13, 78.4033821513, -3.36397576461e-14, 111.495977075, 4.7917832896e-14, 63.5473381385, -8.02856045534e-14, 124.56078822, -2.40017207498e-13, 181.071092787, 2.43693953905e-14, 38.3734120727, -3.42781358853e-14, 72.1649540619, -1.6681100945e-13, 102.163797349, 2
2.33146835171e-14, 23.9434714473, -2.32813768264e-13, 46.008701844, -6.02851102371e-14, 66.0912454375, 2.20864992961e-14, 33.7698394767, 1.38861144805e-13, 64.3091663457, -2.55906407176e-14, 91.8630483229, 4.09158113206e-14, 51.344512551, -7.04131848314e-14, 100.426699633, -2.06282690582e-13, 145.771060962, 2.13232209667e-14, 32.3929507341, -3.02258218454e-14, 61.5057036837, -1.41303635459e-13, 87.7274669933, 2
3.81500386837e-14, 26.3154246805, -2.98136515475e-13, 50.5492680785, -8.09075029196e-14, 72.5875307816, 2.73184252997e-14, 34.7278267875, 1.84859072494e-13, 65.1993571028, -4.0224767961e-14, 92.1105676608, 5.55204753699e-14, 57.4758288957, -9.05035595078e-14, 112.683301394, -2.73513850457e-13, 163.849442794, 2.87582457847e-14, 36.1507603632, -3.87398446655e-14, 68.0778479783, -1.91395510551e-13, 96.3463472875, 2
2.94486657282e-14, 24.9190171123, -2.55490073542e-13, 48.1398996769, -6.55031584529e-14, 69.3393997906, 2.31134555939e-14, 34.2933751685, 1.67768576809e-13, 64.8894931949, -3.17801340799e-14, 92.1759045512, 4.85683541995e-14, 54.4536119291, -7.94728866049e-14, 106.842127165, -2.40614819735e-13, 155.411867598, 2.34742780769e-14, 33.0772398553, -3.27793348021e-14, 62.3716180376, -1.68087765928e-13, 88.3994954141, 3
3.12111447798e-14, 26.1996625064, -2.18519646822e-13, 50.5496966571, -5.2929882699e-14, 72.8036573992, 1.77427517123e-14, 35.5313180509, 1.31783473023e-13, 67.1756484517, -2.81441536742e-14, 95.3288976119, 3.91315127003e-14, 56.8345738683, -6.42453755126e-14, 111.532820552, -1.91127929455e-13, 162.201388126, 1.71529457305e-14, 35.0615840731, -2.59306465189e-14, 66.2501541479, -1.30201405213e-13, 93.9938719657, 3
3.09891001748e-14, 27.1181272765, -2.36616282123e-13, 52.3258279744, -5.34294830601e-14, 75.3462914684, 2.01158534274e-14, 36.2175752597, 1.5079604232e-13, 68.4693542001, -3.02952107845e-14, 97.2718128551, 4.44308218689e-14, 57.6472840898, -7.136066911e-14, 112.814323344, -2.16382467499e-13, 163.839510746, 1.93040028407e-14, 36.381853052, -3.02119440576e-14, 68.6374505378, -1.52308721191e-13, 97.3562270266, 3
1.0122458427e-13, 35.0856692702, -4.30766533555e-13, 67.4986169728, -1.43551837084e-13, 97.0177477552, 1.84297022088e-14, 51.4336969309, 2.45720110925e-13, 95.5125470693, 8.28503932127e-14, 133.649157789, 7.81514609971e-14, 89.1696355437, -1.32782673745e-13, 175.019954147, -3.71749506178e-13, 254.683901377, 3.85802501057e-15, 51.955822876, -9.92261828259e-14, 96.8324817071, -2.29233299009e-13, 135.826350621, 4
7.83956233263e-14, 33.6600799455, -3.94906329859e-13, 64.5454210566, -1.31228361511e-13, 92.6930835746, 2.06709649397e-14, 50.8584455753, 2.39711028804e-13, 94.0808203082, 4.80449013907e-14, 131.230329923, 7.232886165e-14, 89.4569774242, -1.21122729901e-13, 175.591165224, -3.43871632558e-13, 255.544042556, 9.79771819232e-15, 51.0221671078, -8.04495359219e-14, 94.4775855473, -2.17936779734e-13, 131.862202472, 3
-1.30451205393e-15, 31.6259276318, -2.74724687443e-13, 60.9046571084, -7.78543896018e-14, 87.6222792932, 2.18297602217e-14, 42.6722370525, 1.71695990758e-13, 80.1914962756, -1.949829187e-14, 113.371015653, 4.93372703803e-14, 67.8376293031, -8.33123717583e-14, 132.839478662, -2.49743151506e-13, 193.014915955, 2.58612575799e-14, 41.5141283431, -3.2640556924e-14, 78.1007549258, -1.66741620511e-13, 110.507739226, 4
1.00704167227e-13, 30.5210324141, -4.36470304344e-13, 57.8774881775, -1.32241440021e-13, 82.5496890473, 2.11705653008e-14, 51.3012522108, 2.5964647099e-13, 95.7140305733, 4.22994972382e-14, 134.583124581, 7.9168008954e-14, 89.4932348357, -1.33709883443e-13, 175.468832144, -3.75451406076e-13, 255.185184699, 9.10903297235e-15, 53.2719736169, -8.77492523088e-14, 99.9303943573, -2.36033415035e-13, 141.003667688, 3
